nome_final,descricao
codigo_eleicao,Código da eleição. Aparece no TSE como: CD_ELEICAO (1996). Coluna adicionada em 1996.
codigo_tipo_eleicao,Código do tipo de eleição. Aparece no TSE como: CD_TIPO_ELEICAO (1996). Coluna adicionada em 1996.
data_eleicao,Data em que ocorreu a eleição. Aparece no TSE como: DT_ELEICAO (1996). Coluna adicionada em 1996.
eleicao,"Descrição da eleição. Aparece no TSE como: DESCRICAO_ELEICAO (1994_BR), DS_ELEICAO (1996)."
tipo_abrangencia_eleicao,Tipo de abrangência da eleição. Aparece no TSE como: TP_ABRANGENCIA (1996). Coluna adicionada em 1996.
tipo_eleicao,Nome do tipo de eleição. Aparece no TSE como: NM_TIPO_ELEICAO (1996). Coluna adicionada em 1996.
codigo_totalizacao_turno,"Código da situação de totalização do candidato naquele turno. Aparece no TSE como: COD_SIT_TOT_TURNO (1994_BR), CD_SIT_TOT_TURNO (1996)."
totalizacao_turno,"Descrição da situação de totalização do candidato naquele turno. Aparece no TSE como: DESC_SIT_TOT_TURNO (1994_BR), DS_SIT_TOT_TURNO (1996)."
turno,"Número do turno. Aparece no TSE como: NUM_TURNO (1994_BR), NR_TURNO (1996)."
sigla_unidade_eleitoral,"Sigla da Unidade Eleitoral (Em caso de eleição majoritária é a sigla da UF que o candidato concorre (texto) e em caso de eleição municipal é o código TSE do município (número)). Assume os valores especiais BR, ZZ e VT para designar, respectivamente, o Brasil, Exterior e Voto em Trânsito. Aparece no TSE como: SIGLA_UE (1994_BR), SG_UE (1996)."
sigla_unidade_federativa,"Sigla da Unidade da Federação em que ocorreu a eleição. Aparece no TSE como: SIGLA_UF (1994_BR), SG_UF (1996)."
ano,Ano da eleição. Aparece no TSE como: ANO_ELEICAO (1994_BR).
codigo_estado_civil,"Código do estado civil do candidato. Aparece no TSE como: CODIGO_ESTADO_CIVIL (1994_BR), CD_ESTADO_CIVIL (1996)."
codigo_etnia,Código da etnia (cor/raça) do candidato (auto declaração). Aparece no TSE como: CD_COR_RACA (1996). Coluna adicionada em 1996.
codigo_genero,"Código do sexo do candidato. Aparece no TSE como: CODIGO_SEXO (1994_BR), CD_GENERO (1996)."
codigo_grau_instrucao,"Código do grau de instrução do candidato. Gerado internamente pelos sistemas eleitorais. Aparece no TSE como: COD_GRAU_INSTRUCAO (1994_BR), CD_GRAU_INSTRUCAO (1996)."
codigo_municipio_nascimento,"Código TSE do município da nascimento do candidato. Aparece no TSE como: CODIGO_MUNICIPIO_NASCIMENTO (1994_BR), CD_MUNICIPIO_NASCIMENTO (1996)."
codigo_nacionalidade,"Código da nacionalidade do candidato. Aparece no TSE como: CODIGO_NACIONALIDADE (1994_BR), CD_NACIONALIDADE (1996)."
codigo_ocupacao,"Código da ocupação do candidato. Aparece no TSE como: CODIGO_OCUPACAO (1994_BR), CD_OCUPACAO (1996)."
composicao_federacao,Descrição da federação. Aparece no TSE como: DS_COMPOSICAO_FEDERACAO (2022). Coluna adicionada em 2022.
cpf,"CPF do candidato. Aparece no TSE como: CPF_CANDIDATO (1994_BR), NR_CPF_CANDIDATO (1996)."
data_aceite,Aparece no TSE como: DT_ACEITE_CANDIDATURA (2020). Coluna adicionada em 2020.
data_nascimento,"Data de nascimento do candidato. Aparece no TSE como: DATA_NASCIMENTO (1994_BR), DT_NASCIMENTO (1996)."
email,Endereço de e-mail do candidato. Aparece no TSE como: NM_EMAIL (1996). Coluna adicionada em 1996.
estado_civil,"Descrição do estado civil do candidato. Aparece no TSE como: DESCRICAO_ESTADO_CIVIL (1994_BR), DS_ESTADO_CIVIL (1996)."
etnia,Etnia (cor/raça) do candidato (auto declaração). Aparece no TSE como: DS_COR_RACA (1996). Coluna adicionada em 1996.
federacao,Aparece no TSE como: NM_FEDERACAO (2020). Coluna adicionada em 2020.
federacao_composicao,Aparece no TSE como: DS_COMPOSICAO_FEDERACAO (2020). Coluna adicionada em 2020.
federacao_numero,Aparece no TSE como: NR_FEDERACAO (2020). Coluna adicionada em 2020.
federacao_sigla,Aparece no TSE como: SG_FEDERACAO (2020). Coluna adicionada em 2020.
genero,"Descrição do sexo do candidato. Aparece no TSE como: DESCRICAO_SEXO (1994_BR), DS_GENERO (1996)."
grau_instrucao,"Descrição do grau de instrução do candidato. Aparece no TSE como: DESCRICAO_GRAU_INSTRUCAO (1994_BR), DS_GRAU_INSTRUCAO (1996)."
municipio_nascimento,"Nome do município de nascimento do candidato. Aparece no TSE como: NOME_MUNICIPIO_NASCIMENTO (1994_BR), NM_MUNICIPIO_NASCIMENTO (1996)."
nacionalidade,"Descrição da nacionalidade do candidato. Aparece no TSE como: DESCRICAO_NACIONALIDADE (1994_BR), DS_NACIONALIDADE (1996)."
nome,"Nome completo do candidato. Aparece no TSE como: NOME_CANDIDATO (1994_BR), NM_CANDIDATO (1996)."
nome_social,Nome social do candidato. Aparece no TSE como: NM_SOCIAL_CANDIDATO (1996). Coluna adicionada em 1996.
numero_federacao,Número da federação. Aparece no TSE como: NR_FEDERACAO (2022). Coluna adicionada em 2022.
ocupacao,"Descrição da ocupação do candidato. Aparece no TSE como: DESCRICAO_OCUPACAO (1994_BR), DS_OCUPACAO (1996)."
ordem_suplencia,Aparece no TSE como: SQ_ORDEM_SUPLENCIA (2020). Coluna adicionada em 2020.
sequencial_substituido,Aparece no TSE como: SQ_SUBSTITUIDO (2020). Coluna adicionada em 2020.
sigla_federacao,Sigla da federação. Aparece no TSE como: SG_FEDERACAO (2022). Coluna adicionada em 2022.
sigla_unidade_federativa_nascimento,"Sigla da UF de nascimento do candidato. Aparece no TSE como: SIGLA_UF_NASCIMENTO (1994_BR), SG_UF_NASCIMENTO (1996)."
situacao_prestacao_contas,Situação da prestação de contas. Aparece no TSE como: ST_PREST_CONTAS (2020). Coluna adicionada em 2020.
status_substituido,status?. Aparece no TSE como: ST_SUBSTITUIDO (2020). Coluna adicionada em 2020.
tipo_destinacao_votos,?. Aparece no TSE como: NM_TIPO_DESTINACAO_VOTOS (2020). Coluna adicionada em 2020.
titulo_eleitoral,"Número do título eleitoral do candidato. Aparece no TSE como: NUM_TITULO_ELEITORAL_CANDIDATO (1994_BR), NR_TITULO_ELEITORAL_CANDIDATO (1996)."
unidade_eleitoral,"Descrição da Unidade Eleitoral. Aparece no TSE como: DESCRICAO_UE (1994_BR), NM_UE (1996)."
codigo_legenda,"Código sequencial da legenda gerado pela Justiça Eleitoral. Aparece no TSE como: CODIGO_LEGENDA (1994_BR), SQ_COLIGACAO (1996)."
composicao_legenda,"Composição da legenda. Aparece no TSE como: COMPOSICAO_LEGENDA (1994_BR), DS_COMPOSICAO_COLIGACAO (1996)."
legenda,"Nome da legenda. Aparece no TSE como: NOME_LEGENDA (1994_BR), NM_COLIGACAO (1996)."
numero_partido,"Número do partido. Aparece no TSE como: NUMERO_PARTIDO (1994_BR), NR_PARTIDO (1996)."
partido,"Nome do partido. Aparece no TSE como: NOME_PARTIDO (1994_BR), NM_PARTIDO (1996)."
sigla_legenda,Sigla da legenda. Aparece no TSE como: SIGLA_LEGENDA (1994_BR).
sigla_partido,"Sigla do partido. Aparece no TSE como: SIGLA_PARTIDO (1994_BR), SG_PARTIDO (1996)."
tipo_agremiacao,Tipo de agremiação - pode assumir os valores “coligação” (quando o candidato concorre por coligação) e “partido isolado” (quando o candidato concorre somente pelo partido). Aparece no TSE como: TP_AGREMIACAO (1996). Coluna adicionada em 1996.
candidatura_inserida_urna,Informa se o candidato foi inserido na urna eletrônica. Aparece no TSE como: ST_CANDIDATO_INSERIDO_URNA (1996). Coluna adicionada em 1996.
cargo,"Descrição do cargo a que o candidato concorre. Aparece no TSE como: DESCRICAO_CARGO (1994_BR), DS_CARGO (1996)."
codigo_cargo,"Código do cargo a que o candidato concorre. Aparece no TSE como: CODIGO_CARGO (1994_BR), CD_CARGO (1996)."
codigo_detalhe_situacao_candidatura,Código do detalhe da situação do registro de candidatura do candidato. Aparece no TSE como: CD_DETALHE_SITUACAO_CAND (1996). Coluna adicionada em 1996.
codigo_situacao_candidato_tot,? (trocar “tot”). Aparece no TSE como: CD_SITUACAO_CANDIDATO_TOT (2020). Coluna adicionada em 2020.
codigo_situacao_candidatura,"Código da situação de candidatura. Aparece no TSE como: COD_SITUACAO_CANDIDATURA (1994_BR), CD_SITUACAO_CANDIDATURA (1996)."
codigo_situacao_candidatura_pleito,Código da situação da candidatura no dia do Pleito. Aparece no TSE como: CD_SITUACAO_CANDIDATO_PLEITO (1996). Coluna adicionada em 1996.
codigo_situacao_candidatura_urna,Código da situação da candidatura na urna. Aparece no TSE como: CD_SITUACAO_CANDIDATO_URNA (1996). Coluna adicionada em 1996.
concorre_reeleicao,"O indicativo de que o candidato está concorrendo ou não à reeleição - pode assumir os valores “S” (sim) e “N” (não) -apenas para os cargos de presidente, governador e prefeito é possível candidatura à reeleição. Aparece no TSE como: ST_REELEICAO (1996). Coluna adicionada em 1996."
declara_bens,O indicativo de que o candidato tem ou não bens a declarar - pode assumiar os valores “S” (em caso positivo) e “N” (em caso negativo). Aparece no TSE como: ST_DECLARAR_BENS (1996). Coluna adicionada em 1996.
despesa_maxima_campanha,"Despesa máxima de campanha declarada pelo partido para aquele cargo. Valores em Reais.. Aparece no TSE como: DESPESA_MAX_CAMPANHA (1994_BR), VR_DESPESA_MAX_CAMPANHA (1996)."
detalhe_situacao_candidatura,Descrição do detalhe da situação do registro de candidatura do candidato. Aparece no TSE como: DS_DETALHE_SITUACAO_CAND (1996). Coluna adicionada em 1996.
idade_data_eleicao,Idade do candidato da data da eleição. Aparece no TSE como: IDADE_DATA_ELEICAO (1994_BR).
idade_data_posse,Idade do candidato na data da posse (consultar a data de posse para cada cargo e unidade eleitoral nos arquivos de vagas). Aparece no TSE como: NR_IDADE_DATA_POSSE (1996). Coluna adicionada em 1996.
nome_urna,"Nome de urna do candidato. Aparece no TSE como: NOME_URNA_CANDIDATO (1994_BR), NM_URNA_CANDIDATO (1996)."
numero_processo_candidatura,Número do processo de registro de candidatura do candidato. Aparece no TSE como: NR_PROCESSO (1996). Coluna adicionada em 1996.
numero_protocolo_candidatura,Número do protocolo de registro de candidatura do candidato. Aparece no TSE como: NR_PROTOCOLO_CANDIDATURA (1996). Coluna adicionada em 1996.
numero_sequencial,"Número sequencial do candidato gerado internamente pelos sistemas eleitorais. Não é o número de campanha do candidato.. Aparece no TSE como: SEQUENCIAL_CANDIDATO (1994_BR), SQ_CANDIDATO (1996)."
numero_urna,"Número do candidato na urna. Aparece no TSE como: NUMERO_CANDIDATO (1994_BR), NR_CANDIDATO (1996)."
situacao_candidato_tot,? (trocar “tot”). Aparece no TSE como: DS_SITUACAO_CANDIDATO_TOT (2020). Coluna adicionada em 2020.
situacao_candidatura,"Descrição da situação de candidatura. Aparece no TSE como: DES_SITUACAO_CANDIDATURA (1994_BR), DS_SITUACAO_CANDIDATURA (1996)."
situacao_candidatura_pleito,Descrição da situação da candidatura no dia do Pleito. Aparece no TSE como: DS_SITUACAO_CANDIDATO_PLEITO (1996). Coluna adicionada em 1996.
situacao_candidatura_urna,Descrição da situação da candidatura na urna. Aparece no TSE como: DS_SITUACAO_CANDIDATO_URNA (1996). Coluna adicionada em 1996.
